34.222.229.130 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/LgvnraDIIYjNovmzf8ZiDIfS6EoS7LWDriX7HZtK7RM HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
34.222.229.130 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
66.133.109.36 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/LgvnraDIIYjNovmzf8ZiDIfS6EoS7LWDriX7HZtK7RM HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.196.96.172 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
3.14.255.131 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/LgvnraDIIYjNovmzf8ZiDIfS6EoS7LWDriX7HZtK7RM HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.196.96.172 - - [26/Jun/2020:10:13:39 +0000] "GET /.well-known/acme-challenge/LgvnraDIIYjNovmzf8ZiDIfS6EoS7LWDriX7HZtK7RM HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
211.51.116.131 - - [26/Jun/2020:10:14:46 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:15:06 +0000] "GET /.well-known/acme-challenge/LgvnraDIIYjNovmzf8ZiDIfS6EoS7LWDriX7HZtK7RM HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:15:06 +0000] "GET /favicon.ico HTTP/1.1" 200 13 "http://www.habitbread.com/.well-known/acme-challenge/LgvnraDIIYjNovmzf8ZiDIfS6EoS7LWDriX7HZtK7RM" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
44.234.47.165 - - [26/Jun/2020:10:16:57 +0000] "GET / HTTP/1.1" 200 13 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:18:03 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:18:09 +0000] "GET /.well-known/acme-challenge HTTP/1.1" 200 13 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:21:30 +0000] "GET / HTTP/1.1" 200 13 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:21:41 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:21:45 +0000] "GET /.well-known/acme-challenge HTTP/1.1" 200 13 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:25:35 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:25:42 +0000] "GET /.well-known/acme-challenge/130-xArjDlVOQUgeXlGkXQrB37jGQ9d3j3ndT6qQt50 HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:25:48 +0000] "GET /.well-known/acme-challenge HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:25:54 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:28:57 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:29:47 +0000] "GET /.well-known/acme-challenge/file.txt HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:31:20 +0000] "GET /.well-known/acme-challenge HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:38:30 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:38:40 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:38:43 +0000] "GET /.well-known/acme-challenge HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:48:23 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:48:39 +0000] "GET /.well-known/acme-challenge/file.txt HTTP/1.1" 200 11 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:55:53 +0000] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:56:12 +0000] "GET /.well-known/acme-challenge HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:10:56:17 +0000] "GET /.well-known/acme-challenge/file.txt HTTP/1.1" 200 20 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
52.15.254.228 - - [26/Jun/2020:10:57:02 +0000] "GET /.well-known/acme-challenge/IdaKA8Kz7zGU42ScMDJqtDLWD8hioD3wv3MaOk-W72c HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
66.133.109.36 - - [26/Jun/2020:10:57:02 +0000] "GET /.well-known/acme-challenge/IdaKA8Kz7zGU42ScMDJqtDLWD8hioD3wv3MaOk-W72c HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
66.133.109.36 - - [26/Jun/2020:10:57:02 +0000] "GET /.well-known/acme-challenge/d5Y0mlP6SzPidBh8pWlQmX1eTQC1Xiq-e3NLoA28qDI HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
52.15.254.228 - - [26/Jun/2020:10:57:02 +0000] "GET /.well-known/acme-challenge/d5Y0mlP6SzPidBh8pWlQmX1eTQC1Xiq-e3NLoA28qDI HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
34.209.232.166 - - [26/Jun/2020:10:57:02 +0000] "GET /.well-known/acme-challenge/IdaKA8Kz7zGU42ScMDJqtDLWD8hioD3wv3MaOk-W72c HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.196.96.172 - - [26/Jun/2020:10:57:02 +0000] "GET /.well-known/acme-challenge/IdaKA8Kz7zGU42ScMDJqtDLWD8hioD3wv3MaOk-W72c HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
34.209.232.166 - - [26/Jun/2020:10:57:02 +0000] "GET /.well-known/acme-challenge/d5Y0mlP6SzPidBh8pWlQmX1eTQC1Xiq-e3NLoA28qDI HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.196.96.172 - - [26/Jun/2020:10:57:03 +0000] "GET /.well-known/acme-challenge/d5Y0mlP6SzPidBh8pWlQmX1eTQC1Xiq-e3NLoA28qDI HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
211.51.116.131 - - [26/Jun/2020:11:03:54 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
211.51.116.131 - - [26/Jun/2020:11:03:59 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
69.25.58.61 - - [26/Jun/2020:11:06:45 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows N\x5CT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.79 Safari/537.16"
